circuit_key,compound_rank,estimator,estimator_order,wear_s_per_lap,se_s_per_lap,laps,stints,races
spa,HARDEST,Fixed effects,2,0.05667266179584292,0.0037169537003614206,1442,78,6
spa,MIDDLE,Fixed effects,2,0.08828761055046148,0.0036401766492624578,1927,143,8
spa,SOFTEST,Fixed effects,2,0.0790728133333888,0.004438270967321306,1747,112,8
suzuka,HARDEST,Fixed effects,2,0.061279266951797334,0.002894295203944881,1466,62,4
suzuka,MIDDLE,Fixed effects,2,0.05471040178530656,0.0031515512841110965,1779,93,5
suzuka,SOFTEST,Fixed effects,2,0.07676440912455075,0.004732123099414659,1000,69,5
villeneuve,HARDEST,Fixed effects,2,0.013894364153719726,0.0014721005052289239,2415,69,4
villeneuve,MIDDLE,Fixed effects,2,0.015857300311486144,0.0013586297942960776,2927,125,6
villeneuve,SOFTEST,Fixed effects,2,0.021187115233119978,0.0028899779447597606,1018,80,6
yas_marina,HARDEST,Fixed effects,2,0.03133043243755279,0.0013943284257482954,4100,145,7
yas_marina,MIDDLE,Fixed effects,2,0.041883414842077894,0.0018069569062963595,2775,162,8
yas_marina,SOFTEST,Fixed effects,2,0.05846783205779062,0.005314188843475047,641,60,8
zandvoort,HARDEST,Fixed effects,2,0.03875986542202962,0.002088154559061251,1932,72,5
zandvoort,MIDDLE,Fixed effects,2,0.037977419720898575,0.0022118396420451503,1868,89,5
zandvoort,SOFTEST,Fixed effects,2,0.030460757442909336,0.0043528429470992835,1664,112,5
albert_park,HARDEST,IPCW-corrected,3,0.0334496749424207,0.002933933490979565,1728,78,4
albert_park,MIDDLE,IPCW-corrected,3,0.0003529537149267846,0.011947749197604553,1507,75,5
albert_park,SOFTEST,IPCW-corrected,3,0.01604182296177822,0.005499485593756062,841,65,5
bahrain,HARDEST,IPCW-corrected,3,0.1028593626547597,0.00569827149851538,1485,85,6
bahrain,MIDDLE,IPCW-corrected,3,0.107937060064447,0.00604721343104669,2612,155,7
bahrain,SOFTEST,IPCW-corrected,3,0.11029622888982214,0.010939999003511456,1992,189,7
bahrain_outer,HARDEST,IPCW-corrected,3,0.030234369477413345,,271,13,1
bahrain_outer,MIDDLE,IPCW-corrected,3,0.0238998643257051,,587,24,1
bahrain_outer,SOFTEST,IPCW-corrected,3,0.023954432489066143,,329,18,1
baku,HARDEST,IPCW-corrected,3,0.003821871409916424,0.013131884336707127,1877,80,4
baku,MIDDLE,IPCW-corrected,3,0.008458267969405978,0.003879651743994965,2330,113,7
baku,SOFTEST,IPCW-corrected,3,0.015146396546977754,0.005652406164025308,864,93,6
catalunya,HARDEST,IPCW-corrected,3,0.047170213438405106,0.01804784872515007,2152,98,8
catalunya,MIDDLE,IPCW-corrected,3,0.056707205031461344,0.0094646710290235,3901,193,9
catalunya,SOFTEST,IPCW-corrected,3,0.0653115075402549,0.011089089395066882,3549,247,9
cota,HARDEST,IPCW-corrected,3,0.04488423817164097,0.013674354843775528,2893,137,7
cota,MIDDLE,IPCW-corrected,3,0.05183311837463387,0.0088494769942651,2413,157,7
cota,SOFTEST,IPCW-corrected,3,0.0626531008302467,0.010289694503266207,720,43,6
hockenheim,HARDEST,IPCW-corrected,3,0.08351058462356023,,151,9,1
hockenheim,MIDDLE,IPCW-corrected,3,0.038288967589924616,,179,12,1
hockenheim,SOFTEST,IPCW-corrected,3,0.017669587625120803,,144,13,1
hungaroring,HARDEST,IPCW-corrected,3,0.045910358510467826,0.008492178205104096,4415,157,8
hungaroring,MIDDLE,IPCW-corrected,3,0.040015487062535895,0.005524692711539549,3781,174,8
hungaroring,SOFTEST,IPCW-corrected,3,0.049045965223711574,0.010259613823098026,1229,80,8
imola,HARDEST,IPCW-corrected,3,0.034652038905726906,0.02308057090789949,1097,35,3
imola,MIDDLE,IPCW-corrected,3,0.025051986704382797,0.015572187239154349,2121,91,4
imola,SOFTEST,IPCW-corrected,3,0.025914507543216097,0.007534200835808425,505,47,4
interlagos,HARDEST,IPCW-corrected,3,0.025445879103697732,0.0015775388667632405,1298,52,5
interlagos,MIDDLE,IPCW-corrected,3,0.04328050182912969,0.0030724859759770594,2492,141,5
interlagos,SOFTEST,IPCW-corrected,3,0.0399268149220651,0.006626483889475187,1494,98,5
jeddah,HARDEST,IPCW-corrected,3,0.002517959028824859,0.015519919436918413,1280,48,3
jeddah,MIDDLE,IPCW-corrected,3,0.021575642498756716,0.012492625425867564,1731,98,5
jeddah,SOFTEST,IPCW-corrected,3,0.017311817220074067,0.004977518405463603,544,43,5
las_vegas,HARDEST,IPCW-corrected,3,0.053813297982197264,0.02914446225577803,1156,65,2
las_vegas,MIDDLE,IPCW-corrected,3,0.024419852103498296,0.004848067228782588,843,54,3
las_vegas,SOFTEST,IPCW-corrected,3,0.044454897709802474,0.0007758928985901137,243,17,3
lusail,HARDEST,IPCW-corrected,3,0.014032810815559436,0.012125305192420586,1170,73,4
lusail,MIDDLE,IPCW-corrected,3,-0.0007487966262774197,0.008620351586743276,1868,119,4
lusail,SOFTEST,IPCW-corrected,3,0.033649778703200926,0.01603461375974516,292,22,4
miami,HARDEST,IPCW-corrected,3,0.01760689879039558,0.006938519237842733,2096,74,4
miami,MIDDLE,IPCW-corrected,3,0.027184847920161383,0.00811377712752413,1727,105,5
miami,SOFTEST,IPCW-corrected,3,0.0405990356684722,0.008357882139403416,336,30,5
monaco,HARDEST,IPCW-corrected,3,0.009167667106041106,0.006243837802307493,3313,90,6
monaco,MIDDLE,IPCW-corrected,3,0.011030799580317958,0.004431048082408814,2600,92,6
monaco,SOFTEST,IPCW-corrected,3,0.012073533850863332,0.011092180424777037,1284,76,6
monza,HARDEST,IPCW-corrected,3,0.02602703056871912,0.010875877416203408,1628,70,5
monza,MIDDLE,IPCW-corrected,3,0.030561604759227052,0.006223343403205018,2499,125,7
